FSC-H,SSC-H,FITC-H,PI-H,PerCP-H,APC-H,FSC-A,SSC-A,FITC-A,PI-A,PerCP-A,APC-A,Width,Time
715323,1728699,10796,667643,2563778,8514,429107,927181,20016,1068096,4121800,26114,79,146.800
779122,1994502,13370,890859,3411798,4601,544339,1138901,30182,1972308,7575237,3058,87,146.800
781726,1925979,12404,749856,2906200,2583,534849,933895,22312,1057378,4119906,-10349,82,151.800
569479,1437048,10226,677654,2606614,2891,299987,727030,17535,1029781,3985666,4421,76,151.800
660945,1441049,11297,667273,2589175,3120,380360,752955,19935,1050770,4091398,1518,78,151.800
309696,873104,1727,29817,127627,5185,149070,399831,2402,48191,216059,22941,69,151.800
676693,1392071,13066,676798,2615750,5127,430107,661876,20509,1051299,4074357,9526,78,151.800
820320,1682676,11271,637014,2460358,5958,473221,842880,20426,1026495,3950088,18879,76,151.800
546073,1626720,10603,609482,2380781,7894,358396,763339,17827,1010087,3950594,31335,76,156.800
770316,2444184,17309,772047,2931943,5863,578037,1385853,33012,1468053,5646773,-936,87,156.800
477701,1610898,12181,662216,2551938,6018,311796,818036,18862,1010555,3921700,15466,73,156.800
856853,2711978,23303,1264446,4811612,6862,672263,1531784,39633,1937955,7425290,6980,88,156.800
481792,725273,3141,16963,85658,1950,360944,524423,5299,46735,229649,-6857,100,156.800
350779,1184308,4389,29619,140302,920,189876,512825,6171,45594,222523,-431,73,156.800
914393,2120504,13246,895603,3392792,7232,587477,1152998,26709,1482915,5728145,9762,98,156.800
955030,2129629,15866,671920,2605290,5679,534133,1035554,25963,1090380,4233700,10017,75,156.800
732231,1478922,11628,687148,2626300,5297,379571,748957,19665,1068608,4160312,-5753,78,156.800
663112,1512703,13232,719114,2750387,67766,417702,776494,22073,1043389,3998999,66870,73,156.800
2636312,5049900,29397,1615194,6221206,7298,1649758,4026220,85257,4006912,1.557135E+07,-5148,113,156.800
608839,2243114,15029,932446,3633811,5656,403873,1321253,33214,2032246,7906474,1453,80,156.800
698699,1352763,12663,741252,2856366,762100,423495,627277,20838,1007505,3932130,221734,68,156.800
1100622,2280327,20141,1011589,3944598,12819,662036,1219554,38964,2021591,7896718,48018,87,161.800
1453431,4518274,20434,1107388,4280062,6342,1316937,3136458,54526,2272753,8904081,4190,106,161.800
1279797,5410258,48663,3393484,1.256123E+07,22629,1540982,5050462,155930,8867622,3.355618E+07,65107,118,161.800
633434,1475280,9673,660085,2463520,4123,353921,744191,16608,941348,3523399,-514,76,161.800
870088,1719824,11017,662525,2521410,608,404362,811773,19677,1011833,3874902,275,75,161.800
822814,2470749,14725,653991,2499329,62199,611644,1331387,28300,1016573,3956543,58232,80,161.800
705498,3086814,16440,892896,3438187,1927592,578645,2032992,36734,1839748,7230045,4734149,88,161.800
1331222,2143959,17522,1109819,4288644,4475,798291,1283078,33451,1938391,7516278,-4883,90,161.800
644093,1009548,9769,648735,2495460,2781,304669,452117,16807,1015329,3886045,-3531,71,161.800
1025855,1811846,13951,683843,2630735,5349,508423,857977,24165,1048296,4074630,6755,80,166.800
929247,1840934,16141,933897,3619479,9493,468871,913894,29880,1667077,6496751,27724,82,166.800
1722383,2619652,16363,1117827,4289582,7104,1738632,2959969,70994,3872036,1.495269E+07,13442,168,166.800
426822,510919,1684,8000,39377,2781,149469,153539,1935,8680,36776,162,52,166.800
1011086,1873532,10863,683714,2639063,2933,497275,940705,19034,1021129,3991219,-6666,80,166.800
845507,2110172,17418,1034826,3965451,6488,614922,1185988,30314,1555115,6019567,10352,85,166.800
971265,2351708,16771,1086119,4210559,8532,606553,1504533,33320,2018341,7883572,25946,86,166.800
1081416,1653384,12205,714294,2792367,11420,903299,1273427,42263,1973268,7733533,54819,124,166.800
949346,2080560,17887,1122795,4303404,11316,571850,1259651,34314,1929166,7488057,32657,77,166.800
516612,2090582,12523,612324,2326456,1933,368916,979961,22439,1022334,3891366,-6669,79,166.800
889103,1991550,20836,1297865,4936660,9714,633432,1265564,37635,1924089,7425041,8310,84,166.800
576662,1305769,10809,693890,2671019,1878,328287,652201,18465,1027923,3978327,-6963,72,166.800
806360,1834479,10461,521030,2058717,2218,484003,945288,20797,1017707,4013712,-2308,79,166.800
1306015,2133523,15111,915527,3499738,7464,714641,1171618,27929,1438117,5550566,7213,85,171.800
1208145,2154801,13032,607446,2391065,3869,660507,1154751,24597,1014229,4014212,7548,79,171.800
1536426,2448989,21922,1103234,4281597,6983,988264,1497803,42243,1994672,7802244,10695,84,171.800
876715,2022359,16430,691913,2665984,4631,467173,981852,27460,1086476,4223269,4740,75,171.800
198892,590644,2563,14372,67907,5805,91980,246418,3503,23715,116845,20147,56,171.800
993726,1790180,12119,650171,2494902,1875,580989,895629,24393,1073754,4151359,-14783,78,171.800
531224,1176398,9309,539325,2057668,6110,267974,551353,17676,932513,3595155,9344,74,171.800
724015,1179500,10796,720360,2752266,3703,339246,601309,17087,1053859,4050278,1568,79,171.800
659339,1399087,12195,673725,2608621,3056,407687,726057,18997,1034892,4066306,8436,78,171.800
705847,2277310,13499,636473,2467813,4056,424783,1207931,25076,1058828,4167193,5369,80,171.800
1321256,2006189,17482,959535,3689497,6021,679851,1026768,29079,1438788,5559038,7473,80,171.800
218197,486581,4560,272388,1004708,1875,160993,321136,9049,570551,2073715,-21,81,171.800
1448428,2811643,28287,923017,3511323,7920,872576,1484031,53744,2054370,7841274,18874,89,176.800
1079692,1902759,13882,666733,2539352,2089,504447,877497,23827,1100354,4205278,-4092,74,176.800
1147444,3222630,17365,902300,3465712,4802,1235358,3184405,79297,4007858,1.548581E+07,309,167,176.800
