FSC-H,SSC-H,FITC-H,PE-H,FSC-A,SSC-A,FITC-A,PE-A,Width,Time
1091158,1949025,15650,911834,648359,1170178,38737,2060082,92,27731.801
1543961,3643744,27592,1356454,979069,2337253,80946,4045185,116,27736.801
660287,1537985,12070,483097,323577,744440,24432,1079936,69,27736.801
930420,2209082,15636,789503,503307,1073702,40602,2078221,86,27736.801
659907,2216289,18166,810048,515568,1347265,46380,2079799,77,27736.801
895483,2042685,21552,1195426,596802,1287285,68887,3657777,76,27736.801
926855,2545072,18921,793523,785358,1836926,62190,2605835,90,27736.801
738274,1797047,15042,752567,230006,715692,30349,1473411,44,27736.801
1433146,4043576,19455,805654,1036302,2579497,68258,2136762,125,27736.801
652161,2217866,20481,944951,397762,1161797,44263,2135071,78,27736.801
575233,1616633,14809,731493,484443,1218071,41304,2014400,104,27741.801
1352019,3313192,26995,1293069,1752713,3788191,123385,5942030,154,27741.801
648370,1718450,16026,893468,358456,894367,37415,2067785,74,27741.801
413941,1269833,11299,495235,290276,696528,24815,1088152,79,27741.801
560584,1142781,12997,746263,438988,799962,36036,1978214,80,27741.801
1096910,2529656,17605,945693,563199,1334196,41367,2056290,87,27741.801
712329,1497787,17736,882465,414643,947084,39606,2069639,84,27741.801
809458,1347097,14074,775157,735297,1131320,40738,2021182,105,27741.801
585534,2126289,15444,690538,384149,1349763,43631,2049875,100,27751.801
782828,1555450,15281,800737,576303,1117315,42119,2118324,99,27751.801
645662,817686,9020,448302,323334,498990,22419,999040,86,27756.801
1050217,1919734,17255,896104,1214121,2441320,82605,4127708,179,27756.801
857906,1916043,17643,916411,437226,1079930,39132,2097126,76,27756.801
1585299,2442517,16848,840120,963741,1393909,42932,2010531,88,27756.801
526781,1623199,14956,756657,357194,935169,36860,1974099,73,27756.801
432657,885517,8572,417894,390668,657877,35629,2100719,135,27756.801
518909,1653502,11082,479051,476773,1180568,38771,1958621,116,27756.801
724701,1266147,10500,375947,366111,672139,23435,1063934,80,27756.801
1017339,1604222,13096,593212,499990,833876,49007,2822306,140,27756.801
693201,1306545,11189,562351,387656,721171,21819,993524,77,27756.801
837331,1387162,14747,697723,564366,1003710,44156,2175127,98,27761.801
747987,1247892,11370,648120,498484,788455,24328,1047693,81,27766.801
501344,1162748,7063,15088,238048,535581,11393,28513,68,27766.801
871953,2453171,18507,602315,544736,1338318,39661,1374247,81,27766.801
1058507,2287588,14986,843892,928990,1699878,47278,2229544,106,27766.801
554824,1791437,15452,610904,347769,998606,34016,1530944,83,27766.801
695692,2433887,19605,853143,567083,1479146,46405,2068927,90,27766.801
517602,1302659,11413,629301,506831,1165452,39614,2054642,108,27771.801
792455,2484189,16929,531056,658620,1609113,48333,2134934,122,27771.801
366727,616925,4635,113386,223318,286905,8400,215119,76,27771.801
618622,1705649,16591,931915,522575,1286106,42327,2075436,97,27771.801
1930128,6719288,37966,1179889,1376423,5164835,116230,3279584,109,27771.801
901621,1143074,16726,977456,582017,624662,39300,2277580,83,27771.801
956820,2860871,20612,999041,577365,1670730,44125,2027510,89,27776.801
832571,1607770,13772,588169,720860,1824923,66389,3036727,174,27776.801
1136822,3043671,20260,837305,515405,1472408,44168,2080173,88,27781.801
875277,2136061,16408,937793,513215,1116846,40897,2051100,96,27786.801
1789707,3497293,25222,1527069,1214402,2488140,82155,4090290,106,27786.801
519917,2040286,12640,544053,389478,1324392,43732,2026048,108,27786.801
419064,1075651,9785,443053,341751,888647,31839,1653292,91,27786.801
322247,461051,5259,296843,340884,534830,28805,1622780,130,27786.801
575041,1185481,7836,415614,457471,831150,35231,2035886,129,27786.801
1035971,1718609,9896,485821,563274,887079,38707,2019674,114,27786.801
858685,1757588,15145,765312,474281,1109213,40238,1877844,74,27786.801
635770,2029790,18414,970904,433371,1131336,39872,2077501,77,27786.801
879458,2313124,17545,944420,605370,1322068,44685,2025786,79,27786.801
612545,1944262,15860,732504,336262,1101217,38271,2020338,73,27786.801
147994,115044,591,26229,36420,22288,754,27188,30,27786.801
512589,1450715,13455,733547,399098,981233,36573,1903155,93,27786.801
595715,1404918,10861,520182,429276,840897,24853,1072379,82,27786.801
517245,1323307,14191,738812,390443,818199,35608,1965416,103,27786.801
1080771,2163776,19181,915080,556831,1297638,44342,2079079,93,27791.801
1328039,2610596,19902,952070,954261,1957217,54216,2042911,97,27791.801
1225222,2612105,18037,938337,621940,1374359,38949,2026434,81,27791.801
1423118,3194399,23748,1038046,1112679,2211640,85136,4240302,132,27791.801
943432,2244223,17771,805277,590487,1418911,43342,2022900,87,27791.801
563626,1903852,15678,736678,395015,1172517,42484,2073022,109,27791.801
108438,234677,7966,593530,76303,184954,25684,1909789,99,27796.801
1012393,2729794,14423,575629,615567,1363228,30810,1121992,81,27801.801
377425,632552,4931,311193,297743,662175,34380,2047019,174,27801.801
723060,706181,8349,593615,583670,517245,32208,1897556,104,27806.801
780829,1675578,13207,558824,419329,823445,26096,1107065,79,27806.801
458195,591804,5776,319376,538391,809992,34218,2042434,154,27811.801
102847,73478,438,16612,28172,20059,241,16523,37,27811.801
861419,1891348,17293,950285,470481,1052974,37709,2014983,85,27811.801
1012324,2495946,19619,764526,531337,1181437,44461,2190746,86,27816.801
521874,1572789,13028,704363,445828,1151726,38740,2124193,102,27816.801
540464,2064069,15756,688047,325521,1183984,42379,2046884,102,27821.801
658824,822062,10118,436116,346842,456156,30922,1755780,111,27826.801
632088,1857055,12724,511174,374805,906150,23809,1069076,79,27826.801
688541,2040277,14193,827810,467268,1299973,42722,2088460,93,27826.801
985270,2409160,13267,574324,504808,1257822,41538,2057402,138,27826.801
537185,1046492,10959,495076,281821,536283,19139,865069,63,27826.801
894562,2409673,16410,726147,575031,1311283,40780,2042595,94,27831.801
800853,2063038,18210,947927,439076,1141169,39576,2051059,82,27831.801
866077,1621625,14938,672189,492004,930854,33320,1473542,81,27831.801
813605,768436,3107,17445,251795,213660,3575,20729,48,27831.801
544130,1744091,13233,581042,397440,1080497,30883,1067701,77,27831.801
890073,2177546,14788,806741,346003,917202,37605,2041906,77,27831.801
1158154,2870726,23732,1215335,972420,2288869,74913,3313444,102,27836.801
219767,276810,3620,246097,177509,300566,23145,1536219,131,27836.801
1544123,2974855,20325,815363,705849,1602888,48794,2012493,99,27836.801
2567116,7702420,36165,1743883,2203436,5261509,137857,5966491,160,27836.801
1137823,1869333,16927,965684,501848,948775,40751,2079967,66,27836.801
610471,799241,8572,526064,268785,348232,26580,1620311,69,27836.801
396999,1644187,11985,521398,282086,957651,39436,1996387,99,27836.801
1664516,3982846,25139,898270,1182537,3036347,76724,2241483,97,27836.801
932110,2502023,16586,790220,573464,1438493,43864,2084202,111,27841.801
1522975,2034618,18378,996577,956128,1479623,44594,2065555,90,27841.801
800091,1485763,11944,647168,677012,1333188,54491,3029143,135,27841.801
298392,758008,4744,253044,302514,618534,21429,1022472,154,27841.801
1752459,4535112,36830,1327971,1174202,3220982,92165,3178168,96,27841.801
599415,1398839,14388,879670,476430,1041236,39845,2097132,92,27846.801
605962,1158021,8877,476827,369080,788254,23336,1059764,82,27846.801
1011134,2300744,13817,591073,565943,1185089,25842,1073355,79,27846.801
1103539,2441286,19491,949351,503960,1217615,40245,2001950,77,27846.801
2414963,3113013,33113,1505387,1701867,2232055,91894,4126796,101,27846.801
467215,1880798,20282,1003334,337138,1067195,44710,2119450,67,27846.801
417047,1439544,13956,792066,233827,790902,35035,1882182,64,27846.801
448124,2345776,18385,777105,329607,1242349,43088,2073494,69,27846.801
1218389,2825531,25922,1389534,1299741,2156850,78494,3914166,132,27846.801
1101596,2171462,18876,1092485,607121,1045710,40692,2059903,72,27846.801
835941,1999885,17684,782385,626459,1187716,41725,2159362,96,27846.801
1041318,2646223,16873,753934,692382,1820929,58255,2810122,153,27851.801
704223,1531101,12665,588926,435348,731486,26254,1228562,76,27851.801
569339,1496213,16174,717014,432497,972164,40421,2001603,92,27851.801
771896,1570577,16849,931685,547888,1148118,40823,2191234,83,27851.801
924569,1937706,15607,777467,537058,1168222,40323,2025795,80,27851.801
1035007,1559421,14825,871097,751834,1225966,46234,2067052,96,27851.801
1236157,2325941,16402,865819,735487,1308672,42119,2085262,98,27851.801
600048,1265115,12686,609720,447895,943356,39245,2135684,145,27851.801
388128,1738890,12592,618958,350437,1155172,37939,2124342,101,27851.801
932571,2449185,18951,842729,1006798,2449552,82280,4005311,132,27851.801
605470,1699184,15052,813778,455458,1069962,38429,1940104,91,27856.801
967817,1617761,15779,781432,619367,1267880,42288,2127343,97,27856.801
1383603,2137980,18069,866594,583157,1063002,40861,2053895,80,27856.801
648640,1211939,13317,754087,539715,961035,38770,2087396,88,27856.801
325976,740521,6347,347610,361520,741271,33474,2005733,174,27861.801
902191,2290094,16188,958526,545463,1403068,39738,2092745,92,27861.801
1012380,3305427,21761,976979,630185,1859791,47411,2091734,88,27866.801
958297,1135575,7089,374542,604917,746112,21433,1024323,92,27866.801
1678027,5126656,29738,1046048,1359725,3383087,68665,2091509,109,27866.801
983385,2010926,16473,889203,1491596,2714783,88447,4027688,149,27866.801
874932,2481607,17939,761421,569747,1324003,43173,2028563,80,27866.801
539163,1790488,19302,994938,407166,1192598,43445,2148135,74,27866.801
317976,1107544,3044,16697,169707,477439,4989,28664,63,27866.801
775429,1384986,13605,790628,516620,924598,38024,2117339,98,27871.801
537682,1809266,15591,799421,331337,1058342,36642,1979773,86,27871.801
839684,3199374,19344,753545,632875,2068542,50784,2109774,98,27871.801
